bstn,hostname,role,ip,root_ip,serialNumber,platform,model
TN-TNV-RZ5,TN-TNV-RZ5-C3-ST-CCE-E12T-S01,CCE,100.65.229.243,100.65.229.243,EC2247003245,EdgeCOS,ECS4100-12T
KA-MLR-O42,KA-MLR-O42-C3-ST-CCE-E12T-S01,CCE,100.67.95.48,100.67.95.48,EC2507001997,EdgeCOS,ECS4100-12T
DN-SLV-SZI,DN-SLV-SZI-B4-VM-ABS-US57-S01,ABS,100.70.207.134,100.70.207.134,21023538368YJ1002771,VRP,s5700S-28P-LI-AC
DN-SLV-OIK,DN-SLV-OIK-B4-VM-ABS-US57-S01,ABS,100.70.207.133,100.70.207.133,21023538368YH4000655,VRP,s5700S-28P-LI-AC
DN-SLV-OIK,DN-SLV-OIK-B4-VM-SMR-C184-R01,SMR,100.67.110.51,null,NA,IOS,cisco1841
PY-PDY-B76,PY-PDY-B76-C3-ST-CCE-C52A-S01,CCE,100.71.87.51,null,FOC2645R27F,IOS,ciscoN5204GAZA
TS-HYD-QM4,TS-HYD-QM4-C3-ST-CCE-E12T-S01,CCE,100.127.176.136,100.127.176.136,EC2316000159,EdgeCOS,ECS4100-12T
DN-SLV-E91,DN-SLV-E91-C3-ST-CCE-E12T-S01,CCE,100.72.67.99,100.72.67.99,EC2511002611,EdgeCOS,ECS4100-12T
KA-HSR-M96,KA-HSR-M96-C3-ST-CCE-E12T-S01,CCE,100.71.158.114,100.71.158.114,EC2511002655,EdgeCOS,ECS4100-12T
TS-HYD-N24,TS-HYD-N24-C3-ST-CCE-E12T-S01,CCE,100.127.249.138,100.127.249.138,EC2345003738,EdgeCOS,ECS4100-12T
AP-RJM-RMI,AP-RJM-RMI-B3-VM-ABS-US57-S01,ABS,100.64.200.156,100.64.200.156,21980105098YK5000338,VRP,s5700-28P-LI-BAT
TS-HYD-U48,TS-HYD-U48-C3-ST-CCE-E12T-S01,CCE,100.127.249.211,100.127.249.211,EC2345003773,EdgeCOS,ECS4100-12T
TS-HYD-ML6,TS-HYD-ML6-C3-ST-CCE-UL8T-S01,CCE,100.127.176.133,100.127.176.133,2S21A0011597,VRP,S5735-L8T4S-A1
TS-HYD-V11,TS-HYD-V11-C3-ST-CCE-E12T-S01,CCE,100.127.176.131,100.127.176.131,EC2337001461,EdgeCOS,ECS4100-12T
AP-VWD-VJW,AP-VWD-VJW-T2-ST-SBE-C1KX-R01,SBE,1.7.1.64,null,FXS2144Q3AY,IOS,ciscoASR1001X
TS-HYD-TG8,TS-HYD-TG8-C3-ST-CCE-UL8X-S01,CCE,100.127.176.138,100.127.176.138,4E22C0079188,VRP,NA
TS-HYD-K66,TS-HYD-K66-C3-ST-CCE-E12T-S01,CCE,100.127.249.213,100.127.249.213,EC2404000403,EdgeCOS,ECS4100-12T
TS-HYD-HYH,TS-HYD-HYH-B4-VM-ABS-US57-S01,ABS,100.65.209.50,100.65.209.50,21980105098YK6000358,VRP,s5700-28P-LI-BAT
TS-HYD-Z32,TS-HYD-Z32-C3-ST-CCE-E12T-S01,CCE,100.127.249.210,100.127.249.210,EC2404000297,EdgeCOS,ECS4100-12T
TN-MAA-TDL,TN-MAA-TDL-T1-ST-SDA-C1KX-R02,SDA,1.7.0.15,null,FXS2021Q21S,IOS,ciscoASR1001X
AP-NEL-SQP,AP-NEL-SQP-B4-VM-ABS-US57-S01,ABS,100.64.209.210,100.64.209.210,21023538368YJB001904,VRP,s5700S-28P-LI-AC
AP-PLK-PLL,AP-PLK-PLL-T3-VM-SBS-US57-S01,SBS,100.64.170.252,100.64.170.252,21980105098YKC000076,VRP,s5700-28P-LI-BAT
TS-HYD-PJ9,TS-HYD-PJ9-C3-ST-CCE-UL8T-S01,CCE,100.127.176.135,100.127.176.135,2S2230003316,VRP,S5735-L8T4S-A1
DN-SLV-SSO,DN-SLV-SSO-T3-IW-SBE-C1KX-R01,SBE,100.70.0.149,null,FXS2252Q2VE,IOS,ciscoASR1001X
PY-PDY-IH6,PY-PDY-IH6-C3-ST-CCE-U572-S01,CCE,100.67.68.92,100.67.68.92,21980105673GL4000728,VRP,s5720-12TP-LI-AC
UP-KAN-PM6,UP-KAN-PM6-C3-ST-CCE-UL8T-S01,CCE,100.64.117.4,100.64.117.4,4E2160094421,VRP,S5735-L8T4S-A1
HR-KNL-JI1,HR-KNL-JI1-C3-ST-CCE-U572-S01,CCE,100.64.198.4,100.64.198.4,21980105673GL4000536,VRP,s5720-12TP-LI-AC
KA-MYS-T00,KA-MYS-T00-C3-ST-CCE-E12T-S01,CCE,100.71.84.238,100.71.84.238,EC2511002735,EdgeCOS,ECS4100-12T
TN-NVG-IUK,TN-NVG-IUK-B4-VM-SBS-US57-S01,SBS,100.65.207.236,100.65.207.236,21023538368YGC003328,VRP,s5700S-28P-LI-AC
TS-HYD-L38,TS-HYD-L38-C3-ST-CCE-E12T-S01,CCE,100.127.176.142,100.127.176.142,EC2337000968,EdgeCOS,ECS4100-12T
TS-HYD-S63,TS-HYD-S63-C3-ST-CCE-E12T-S01,CCE,100.127.176.132,100.127.176.132,EC2524000223,EdgeCOS,ECS4100-12T
TS-HYD-BZ3,TS-HYD-BZ3-C3-ST-CCE-I530-R01,CCE,100.70.144.206,100.70.144.9,M97964DD,CIENA,"Ciena,CN5130"
DL-DEL-SU7,DL-DEL-SU7-C3-ST-CCE-UL8X-S01,CCE,100.64.117.227,100.64.117.227,4E21B0353108,VRP,NA
TS-HYD-TH1,TS-HYD-TH1-C3-ST-CCE-UL8X-S01,CCE,100.127.176.137,100.127.176.137,4E22C0081949,VRP,NA
AP-VWD-S92,AP-VWD-S92-C3-ST-CCE-E12T-S01,CCE,100.127.249.75,100.127.249.75,EC2345003630,EdgeCOS,ECS4100-12T
RJ-JPR-ISB,RJ-JPR-ISB-B3-VM-SBS-US57-S01,SBS,100.64.175.122,100.64.175.122,21023538368YH3006120,VRP,s5700S-28P-LI-AC
UP-KAN-RMA,UP-KAN-RMA-T3-VM-SBS-UC57-S01,SBS,100.64.72.202,100.64.72.202,21980105098YK5000282,VRP,s5700-28P-LI-BAT
HR-BDG-SYR,HR-BDG-SYR-B4-ST-ABS-US57-S01,ABS,100.64.13.74,100.64.13.74,21023538368YF5008005,VRP,s5700S-28P-LI-AC
UP-BNR-BRJ,UP-BNR-BRJ-B3-VM-ABS-US57-S01,ABS,100.64.19.99,100.64.19.99,21980105098YK6000164,VRP,s5700-28P-LI-BAT
UP-BLY-ALC,UP-BLY-ALC-B3-IW-SBS-US57-S01,SBS,100.64.170.218,100.64.170.218,21980105098YK5000124,VRP,s5700-28P-LI-BAT
UP-BLY-PJ1,UP-BLY-PJ1-C3-ST-CCE-UL8T-S01,CCE,100.64.179.34,100.64.179.34,2S2230003407,VRP,S5735-L8T4S-A1
UP-VAR-R64,UP-VAR-R64-C3-ST-CCE-E12T-S01,CCE,100.64.101.187,100.64.101.187,EC2404000058,EdgeCOS,ECS4100-12T
UP-MEE-JGF,UP-MEE-JGF-B2-VM-SBS-UC57-S01,SBS,100.64.58.122,100.64.58.122,21980105098YKC000222,VRP,s5700-28P-LI-BAT
HR-FRN-FRG,HR-FRN-FRG-T3-VM-SBS-US57-S01,SBS,100.64.242.202,100.64.242.202,21980105098YK5000361,VRP,s5700-28P-LI-BAT
UP-BLY-RR6,UP-BLY-RR6-C3-ST-CCE-UL8T-S01,CCE,100.64.251.132,100.64.251.132,2S2210009832,VRP,S5735-L8T4S-A1
HR-KNL-KLZ,HR-KNL-KLZ-T3-AL-ABS-US57-S01,ABS,100.64.113.82,100.64.113.82,21023538368YJ1002489,VRP,s5700S-28P-LI-AC
HR-RWI-D70,HR-RWI-D70-C3-ST-CCE-E12T-S01,CCE,100.64.75.109,100.64.75.109,EC2332000153,EdgeCOS,ECS4100-12T
UP-HAP-HPU,UP-HAP-HPU-B4-AL-ABS-US57-S01,ABS,100.64.186.122,100.64.186.122,21023538368YG4005910,VRP,s5700S-28P-LI-AC
UP-BDN-BWQ,UP-BDN-BWQ-B4-IW-ABS-US57-S01,ABS,100.64.253.12,100.64.253.12,21023538368YJ7000095,VRP,s5700S-28P-LI-AC
RJ-JPR-JPR,RJ-JPR-JPR-T2-ST-SBE-C9K1-R01,SBE,1.7.1.72,null,FOC2149N029,XR,ciscoASR9001
UP-DSR-DER,UP-DSR-DER-T3-VM-SBS-US57-S01,SBS,100.64.133.74,100.64.133.74,21980105098YK5000017,VRP,s5700-28P-LI-BAT
UP-MDB-WPB,UP-MDB-WPB-B4-AL-ABS-US57-S01,ABS,100.64.170.227,100.64.170.227,21023538368YJ6007348,VRP,s5700S-28P-LI-AC
TN-TJV-PDF,TN-TJV-PDF-B4-AL-ABS-US57-S01,ABS,100.64.1.92,100.64.1.92,21980105098YK6000215,VRP,s5700-28P-LI-BAT
UP-KAN-SJ7,UP-KAN-SJ7-C3-ST-CCE-UL8T-S01,CCE,100.64.117.5,100.64.117.5,2S2230004197,VRP,S5735-L8T4S-A1
UP-KSB-UIK,UP-KSB-UIK-B4-VM-ABS-US57-S01,ABS,100.64.248.162,100.64.248.162,21023538368YH5005798,VRP,s5700S-28P-LI-AC
UP-GRK-HME,UP-GRK-HME-B4-AL-ABS-US57-S01,ABS,100.65.111.227,100.65.111.227,21023538368YJB001066,VRP,s5700S-28P-LI-AC
UP-ALL-OH5,UP-ALL-OH5-C3-ST-CCE-UL8T-S01,CCE,100.64.141.147,100.64.141.147,4E2160054150,VRP,S5735-L8T4S-A1
RJ-JOD-JOD,RJ-JOD-JOD-T2-ST-SBE-C1KX-R02,SBE,1.7.1.76,null,FXS2423Q6GF,IOS,ciscoASR1001X
UP-PLT-PLT,UP-PLT-PLT-T3-WT-SBS-US57-S01,SBS,100.64.170.90,100.64.170.90,21023538368YJ6007058,VRP,s5700S-28P-LI-AC
DL-DEL-OL9,DL-DEL-OL9-C3-ST-CCE-UL8T-S01,CCE,100.64.242.94,100.64.242.94,2S2210010186,VRP,S5735-L8T4S-A1
HR-PMS-MPS,HR-PMS-MPS-B4-VM-ABS-US57-S01,ABS,100.64.13.75,100.64.13.74,21023538368YG3010781,VRP,s5700S-28P-LI-AC
RJ-SDP-RBT,RJ-SDP-RBT-B4-VM-ABS-US57-S01,ABS,100.64.191.122,100.64.191.122,21023538368YJ6007030,VRP,s5700S-28P-LI-AC
AP-TPT-QS1,AP-TPT-QS1-C3-ST-CCE-UL8X-S01,CCE,100.65.101.10,100.65.101.10,2S2210003500,VRP,S5735-L8T4X-A1
TS-HYD-B01,TS-HYD-B01-C3-ST-CCE-E12T-S01,CCE,100.127.249.212,100.127.249.212,EC2404000426,EdgeCOS,ECS4100-12T
DN-SLV-SSO,DN-SLV-SSO-T3-IW-SBS-US57-S01,SBS,100.70.207.242,100.70.207.242,21980105098YKC000108,VRP,s5700-28P-LI-BAT
HR-GGN-POV,HR-GGN-POV-T1-ST-NNN-SBE-JX80,NNN,1.7.1.176,null,null,null,NA
HR-SON-KLC,HR-SON-KLC-T3-VM-SLU-E28F-S01,SLU,100.64.131.218,100.64.131.218,null,EdgeCOS,ECS4120-28Fv2
HR-GGN-POV,HR-GGN-POV-T1-ST-SVP-C1KX-R01,SVP,1.7.1.145,null,FXS2144Q3G4,IOS,ciscoASR1001X
UP-AGR-MZL,UP-AGR-MZL-T2-ST-SBE-C1KX-R02,SBE,1.7.1.113,null,FXS1931Q33R,IOS,ciscoASR1001X
DL-DEL-ITM,DL-DEL-ITM-T3-VM-SBS-UC57-S01,SBS,100.64.242.90,100.64.242.90,21980105098YK6000054,VRP,s5700-28P-LI-BAT
UP-BGT-BGC,UP-BGT-BGC-B3-VM-SBS-U530-S01,SBS,100.64.57.242,100.64.57.242,21980105138YF5000103,VRP,s5300-28P-LI-BAT
UP-AGR-MZL,UP-AGR-MZL-T2-ST-SBE-C1KX-R01,SBE,1.7.1.112,null,FXS2049Q169,IOS,ciscoASR1001X
UP-MDB-HCS,UP-MDB-HCS-T3-VM-ABS-US57-S01,ABS,100.64.170.226,100.64.170.226,21980105098YK6000032,VRP,s5700-28P-LI-BAT
UP-MDB-BJQ,UP-MDB-BJQ-B4-IW-ABS-US57-S01,ABS,100.64.185.52,100.64.185.52,21980105368YJ8000090,VRP,s5700-28TP-LI-AC
TN-MAA-TDL,TN-MAA-TDL-T1-ST-SVV-C1KX-R01,SVV,1.7.0.18,null,FXS1942Q2EF,IOS,ciscoASR1001X
HR-GOH-GNX,HR-GOH-GNX-B3-IW-SBS-US57-S01,SBS,100.64.198.34,100.64.198.34,210235383610E9000519,VRP,s5700S-28P-LI-AC
RJ-JOD-JOD,RJ-JOD-JOD-T2-ST-SBE-C1KX-R03,SBE,1.7.1.77,null,FXS1947Q4EY,IOS,ciscoASR1001X
UP-BLY-PJ3,UP-BLY-PJ3-C3-ST-CCE-UL8T-S01,CCE,100.64.179.36,100.64.179.36,2S2230003864,VRP,S5735-L8T4S-A1
UP-ALL-LG6,UP-ALL-LG6-C3-ST-CCE-UL8T-S01,CCE,100.64.141.146,100.64.141.146,4E2160049608,VRP,S5735-L8T4S-A1
KA-MLR-B74,KA-MLR-B74-C3-ST-CCE-E12T-S01,CCE,100.67.95.37,100.67.95.37,EC2418001929,EdgeCOS,ECS4100-12T
HR-FRN-FRG,HR-FRN-FRG-T3-VM-SBS-US57-S03,SBS,100.64.242.205,100.64.242.205,21023538368YJ6006344,VRP,s5700S-28P-LI-AC
TN-MAA-TDL,TN-MAA-TDL-T1-ST-LLS-H513-S01,LLS,100.65.83.10,null,CN59GPX17G,null,hp513048G4SFPPlusEI
HR-GGN-POV,HR-GGN-POV-T1-ST-SBE-C7G2-R01,SBE,1.7.1.180,null,31647868,IOS,cisco7206VXR
TN-SLM-CPY,TN-SLM-CPY-B2-TV-ABS-US57-S01,ABS,100.65.231.246,100.72.205.66,21023538368YH5006046,VRP,s5700S-28P-LI-AC
UP-NDA-NDO,UP-NDA-NDO-T1-ST-MHU-C950-S02,MHU,100.127.253.244,100.127.253.244,FDO26430QVZ,XE,ciscoCat950024Y4C
UP-GRK-PVO,UP-GRK-PVO-B4-VM-ABS-US57-S02,ABS,100.65.111.226,100.65.97.83,21980105098YK6000053,VRP,s5700-28P-LI-BAT
RJ-LUM-LUM,RJ-LUM-LUM-B4-VM-ABS-US57-S01,ABS,100.64.3.202,100.64.3.202,21023538368YH5006004,VRP,s5700S-28P-LI-AC
UP-VAR-C24,UP-VAR-C24-C3-ST-CCE-US57-S01,CCE,100.64.105.98,100.64.105.98,21980105673GL9002232,VRP,s5720-12TP-LI-AC
KA-MLR-FL6,KA-MLR-FL6-C3-ST-CCE-U572-S01,CCE,100.67.87.162,100.67.87.162,21980105673GK1002717,VRP,s5720-12TP-LI-AC
UP-VAR-HW4,UP-VAR-HW4-C3-ST-CCE-U572-S01,CCE,100.64.105.99,100.64.105.99,21980105673GL9002202,VRP,s5720-12TP-LI-AC
KA-HUB-SXT,KA-HUB-SXT-B4-TV-ABS-C29S-S01,ABS,100.67.65.118,100.67.65.118,FOC1443Z4BN,IOS,cat296024S
UP-BLY-RS1,UP-BLY-RS1-C3-ST-CCE-UL8T-S01,CCE,100.64.251.130,100.64.251.130,2S2210009911,VRP,S5735-L8T4S-A1
KA-MLR-MLR,KA-MLR-MLR-T2-ST-MLU-UF57-S02,MLU,100.64.246.250,100.64.246.250,21980105118YJ2000056,VRP,s5700-28P-LI-24S-BAT
HR-UBC-AHS,HR-UBC-AHS-B3-VM-ABS-US57-S01,ABS,100.64.170.162,100.64.170.162,21980105098YKC000238,VRP,s5700-28P-LI-BAT
UP-BLY-RR9,UP-BLY-RR9-C3-ST-CCE-UL8T-S01,CCE,100.64.251.131,100.64.251.131,4E2230067559,VRP,S5735-L8T4S-A1
KA-MYS-FH7,KA-MYS-FH7-C3-ST-CCE-U572-S01,CCE,100.67.84.150,100.67.84.150,21980105673GK1001552,VRP,s5720-12TP-LI-AC
KA-GLB-YIG,KA-GLB-YIG-B3-IW-ABS-US57-S01,ABS,100.64.72.90,100.64.72.90,21023538368YH3006052,VRP,s5700S-28P-LI-AC
UP-ALL-T19,UP-ALL-T19-C3-ST-CCE-E12T-S01,CCE,100.127.249.219,100.127.249.219,EC2337001310,EdgeCOS,ECS4100-12T
UP-KAN-MEM,UP-KAN-MEM-T2-ST-SEA-US57-S01,SEA,100.64.202.75,100.64.202.75,21023538368YG8005070,VRP,s5700S-28P-LI-AC
UP-BLY-RR7,UP-BLY-RR7-C3-ST-CCE-UL8T-S01,CCE,100.64.251.134,100.64.251.134,4E2230067572,VRP,S5735-L8T4S-A1
UP-MGS-GSM,UP-MGS-GSM-T3-VM-SBS-US57-S01,SBS,100.64.238.242,100.64.238.242,21980105098YK5000019,VRP,s5700-28P-LI-BAT
UP-ALL-UQ9,UP-ALL-UQ9-C3-ST-CCE-UL8T-S01,CCE,100.64.141.149,100.64.141.149,4E2160030605,VRP,S5735-L8T4S-A1
UP-KAN-MEM,UP-KAN-MEM-T2-ST-SEA-US57-S02,SEA,100.64.202.77,100.64.202.77,21023538368YG8004295,VRP,s5700S-28P-LI-AC
UP-KAN-MEM,UP-KAN-MEM-T2-ST-SMR-C184-R01,SMR,100.64.202.74,null,NA,IOS,cisco1841
UP-NDA-NDO,UP-NDA-NDO-T1-ST-SMR-C1KX-R01,SMR,1.7.0.106,null,FXS2020Q64N,IOS,ciscoASR1001X
UL-RUD-VHI,UL-RUD-VHI-B4-VM-ABS-US57-S01,ABS,100.65.133.250,100.65.133.250,21023538368YJ1002480,VRP,s5700S-28P-LI-AC
UL-DDN-W16,UL-DDN-W16-C3-ST-CCE-E12T-S01,CCE,100.71.135.35,100.71.135.35,EC2404005298,EdgeCOS,ECS4100-12T
TN-GPC-GIC,TN-GPC-GIC-B3-VM-SBS-US57-S01,SBS,100.64.155.220,100.64.155.220,21980105098YK5000230,VRP,s5700-28P-LI-BAT
UP-AGR-MZL,UP-AGR-MZL-T2-ST-SVP-C1KX-R01,SVP,1.7.1.114,null,FXS1932Q1UC,IOS,ciscoASR1001X
TN-TUT-SCI,TN-TUT-SCI-B4-VM-ABS-US57-S01,ABS,100.65.230.186,100.65.230.186,21023538368YGC003292,VRP,s5700S-28P-LI-AC
AP-BMV-BMV,AP-BMV-BMV-T3-ST-SBS-US57-S01,SBS,100.64.209.162,100.64.209.162,210235383610E3000166,VRP,s5700S-28P-LI-AC
TN-MAA-TDL,TN-MAA-TDL-T1-ST-SDA-C1KX-R01,SDA,1.7.0.14,null,FXS2020Q60J,IOS,ciscoASR1001X
DL-DEL-NAF,DL-DEL-NAF-T3-VM-ABS-US57-S01,ABS,100.64.117.226,100.64.117.226,21023538368YJ6007056,VRP,s5700S-28P-LI-AC
TN-CBE-CBE,TN-CBE-CBE-T2-ST-SBE-C9K1-R02,SBE,1.7.1.45,null,FOC2149N03X,XR,ciscoASR9001
KA-MYS-U13,KA-MYS-U13-C3-ST-CCE-E12T-S01,CCE,100.65.154.75,100.65.154.75,EC2345003830,EdgeCOS,ECS4100-12T
KA-MLR-CQ6,KA-MLR-CQ6-C3-ST-CCE-U572-S01,CCE,100.67.80.226,100.67.80.226,21980105673GK5001964,VRP,s5720-12TP-LI-AC
TN-TRV-TVZ,TN-TRV-TVZ-T3-VM-SBS-US57-S01,SBS,100.65.241.115,100.65.241.115,21023538368YF3000890,VRP,s5700S-28P-LI-AC
KA-BGL-MDI,KA-BGL-MDI-B4-TV-ABS-US57-S01,ABS,100.64.196.219,100.64.196.219,21023538368YJ6007472,VRP,s5700S-28P-LI-AC
UP-KAN-MEM,UP-KAN-MEM-T2-ST-SBS-US57-S01,SBS,100.64.202.78,100.64.202.78,21023538368YG8004338,VRP,s5700S-28P-LI-AC
AP-WET-BMI,AP-WET-BMI-B4-VM-ABS-UC57-S01,ABS,100.65.226.130,100.65.226.130,21980105098YK6000433,VRP,s5700-28P-LI-BAT
UP-BNR-AIN,UP-BNR-AIN-B4-VM-ABS-C29S-S01,ABS,100.64.151.242,null,FOC1430U30Z,IOS,cat296024S
UP-BLY-PJ5,UP-BLY-PJ5-C3-ST-CCE-UL8T-S01,CCE,100.64.179.38,100.64.179.38,2S2230003868,VRP,S5735-L8T4S-A1
UP-ABV-APB,UP-ABV-APB-T3-VM-ABS-US57-S01,ABS,100.64.203.130,100.64.203.130,21980105138YKA000149,VRP,s5300-28P-LI-BAT
HP-NLG-NAI,HP-NLG-NAI-B4-IW-ABS-E28T-S01,ABS,100.67.36.52,100.67.36.52,21023538368YH5005962,EdgeCOS,ECS4120-28Fv2
AP-SOV-ASY,AP-SOV-ASY-B4-IW-ABS-US57-S01,ABS,100.64.22.147,100.64.22.147,21980105098YK5000344,VRP,s5700-28P-LI-BAT
UP-GZB-MDX,UP-GZB-MDX-B4-AL-ABS-US57-S01,ABS,100.64.58.125,100.64.58.125,21023538368YH5006028,VRP,s5700S-28P-LI-AC
TN-MAA-TDL,TN-MAA-TDL-T1-ST-SBS-US57-S02,SBS,100.66.1.30,100.66.1.30,21023538368YG3010787,VRP,s5700S-28P-LI-AC
TN-CBE-CBE,TN-CBE-CBE-T2-ST-SVP-C9K1-R01,SVP,1.7.1.46,null,FOC1937NMLC,XR,ciscoASR9001
TN-TBN-TVU,TN-TBN-TVU-B4-AL-ABS-US57-S01,ABS,100.65.170.162,100.65.170.162,21023538368YF3000900,VRP,s5700S-28P-LI-AC
TN-MDU-EML,TN-MDU-EML-B4-VM-SBS-US57-S01,SBS,100.64.138.178,100.64.138.178,210235383610E7000395,VRP,s5700S-28P-LI-AC
KA-MYS-RVE,KA-MYS-RVE-B4-TV-ABS-UC57-S01,ABS,100.65.87.74,100.65.87.74,21980105098YKC000135,VRP,s5700-28P-LI-BAT
TS-HYD-OI6,TS-HYD-OI6-C3-ST-CCE-E12T-S01,CCE,100.127.176.134,100.127.176.134,EC2322002267,EdgeCOS,ECS4100-12T
TN-TNV-SMH,TN-TNV-SMH-T3-ST-SBS-US57-S01,SBS,100.65.229.242,100.65.229.242,21023538368YJ3001005,VRP,s5700S-28P-LI-AC
KA-MLR-MLR,KA-MLR-MLR-T2-ST-SMR-C184-R01,SMR,100.67.94.214,null,NA,IOS,cisco1841
TN-ASY-SYT,TN-ASY-SYT-B4-ST-ABS-US57-S01,ABS,100.64.145.220,100.64.145.220,21023538368YF3000897,VRP,s5700S-28P-LI-AC
TN-KRR-UKT,TN-KRR-UKT-B3-TV-SBS-US57-S01,SBS,100.65.207.180,100.65.207.180,21023538368YH5005795,VRP,s5700S-28P-LI-AC
KA-HSR-UN4,KA-HSR-UN4-C3-ST-CCE-C35C-S01,CCE,100.65.211.29,100.65.211.29,FOC2712Y2BK,IOS,catwsC3560CX8tcS
UP-BLY-PJ2,UP-BLY-PJ2-C3-ST-CCE-UL8T-S01,CCE,100.64.179.35,100.64.179.35,2S2230003424,VRP,S5735-L8T4S-A1
TN-RMD-OTN,TN-RMD-OTN-B4-VM-SBS-US57-S01,SBS,100.65.207.244,100.65.207.244,21023538368YJB001078,VRP,s5700S-28P-LI-AC
KA-MLR-PI5,KA-MLR-PI5-C3-ST-CCE-US57-S01,CCE,100.67.95.20,100.67.95.20,21980105673GJ4002935,VRP,s5720-12TP-LI-AC
TN-SLM-YUM,TN-SLM-YUM-B2-ST-SBS-US57-S01,SBS,100.65.211.114,100.72.205.66,21023538368YH5005761,VRP,s5700S-28P-LI-AC
UP-AOY-YAY,UP-AOY-YAY-B4-AL-ABS-US57-S01,ABS,100.64.141.138,100.64.141.138,21023538368YHB008556,VRP,s5700S-28P-LI-AC
KA-VJP-VPT,KA-VJP-VPT-B4-VM-SBS-U572-S01,SBS,100.67.56.61,100.67.56.61,21023538368YJ6007464,VRP,s5700S-28P-LI-AC
HR-SON-KLC,HR-SON-KLC-T3-VM-SBS-US57-S02,SBS,100.64.131.221,100.64.131.221,21023538368YK6001685,VRP,s5700S-28P-LI-AC
KA-SMG-B72,KA-SMG-B72-C3-ST-CCE-E12T-S01,CCE,100.64.115.158,100.64.115.158,EC2344001030,EdgeCOS,ECS4100-12T
KA-MLR-GA8,KA-MLR-GA8-C3-ST-CCE-US57-S01,CCE,100.67.87.163,100.67.87.163,21980105673GJB001599,VRP,s5720-12TP-LI-AC
TN-MAA-Q64,TN-MAA-Q64-C3-ST-CCE-US57-S01,CCE,100.65.137.162,100.65.137.162,21023538368YFC002548,VRP,s5700S-28P-LI-AC
TN-TML-VIN,TN-TML-VIN-B4-VM-SBS-US57-S01,SBS,100.65.213.58,100.65.213.58,21023538368YH5005756,VRP,s5700S-28P-LI-AC
UP-NTR-NUY,UP-NTR-NUY-B4-AI-ABS-US57-S01,ABS,100.64.170.130,100.64.170.130,21980105098YK6000033,VRP,s5700-28P-LI-BAT
TN-NYL-NLY,TN-NYL-NLY-B3-VM-ABS-US57-S01,ABS,100.65.231.218,100.65.231.218,21023538368YJ3001002,VRP,s5700S-28P-LI-AC
KA-KLO-BWK,KA-KLO-BWK-B4-IW-ABS-US57-S01,ABS,100.65.239.178,100.65.239.178,21023538368YJC000042,VRP,s5700S-28P-LI-AC
KA-MLR-SH8,KA-MLR-SH8-C3-ST-CCE-UL8X-S01,CCE,100.67.87.164,100.67.87.164,4E21B0352509,VRP,NA
KA-GLB-FO3,KA-GLB-FO3-C3-ST-CCE-U572-S01,CCE,100.67.95.162,100.67.95.162,21980105673GK1002622,VRP,s5720-12TP-LI-AC
TN-MYN-MYR,TN-MYN-MYR-B3-VM-SBS-US57-S01,SBS,100.64.172.60,100.64.172.60,21980105098YK6000453,VRP,s5700-28P-LI-BAT
TN-MAA-TDL,TN-MAA-TDL-T1-ST-CCE-V120-R01,CCE,100.66.1.55,null,LBADVA71211800754,ADVA,FSP150CC-XG120PRO
KA-GLB-PH5,KA-GLB-PH5-C3-ST-CCE-UL8T-S01,CCE,100.67.95.163,100.67.95.163,21980112842SM6501428,VRP,S5735-L8T4S-A1
TN-DKV-VAC,TN-DKV-VAC-B4-VM-ABS-US57-S01,ABS,100.64.56.188,100.64.56.188,21980105098YK5000241,VRP,s5700-28P-LI-BAT
KA-UDP-BUK,KA-UDP-BUK-B4-VM-ABS-US57-S01,ABS,100.65.244.118,100.65.244.118,21023538368YH5006006,VRP,s5700S-28P-LI-AC
TN-CUD-VDP,TN-CUD-VDP-B4-AL-SBS-US57-S01,SBS,100.65.152.161,100.65.152.161,21023538368YJ6002661,VRP,s5700S-28P-LI-AC
KA-BLR-KLT,KA-BLR-KLT-B4-VM-ABS-US57-S01,ABS,100.67.66.254,100.67.66.254,21023538368YH3006122,VRP,s5700S-28P-LI-AC
TN-MDU-MDU,TN-MDU-MDU-T2-ST-SBE-C1KX-R02,SBE,1.7.1.49,null,FXS1932Q1UG,IOS,ciscoASR1001X
KA-GLB-GBJ,KA-GLB-GBJ-B4-VM-ABS-US57-S01,ABS,100.65.220.74,100.65.220.74,21023538368YG7001187,VRP,s5700S-28P-LI-AC
KA-MYS-VVO,KA-MYS-VVO-B4-AL-ABS-US57-S01,ABS,100.65.154.74,100.65.154.74,21980105098YK6000027,VRP,s5700-28P-LI-BAT
KA-MLR-BNN,KA-MLR-BNN-B4-VM-SBS-US57-S01,SBS,100.64.138.86,221.135.70.227,21023538368YH3006125,VRP,s5700S-28P-LI-AC
KA-MLR-A01,KA-MLR-A01-C3-ST-CCE-C35C-S01,CCE,100.67.95.23,null,FOC2138Y64G,IOS,catwsC3560CX8tcS
KA-MYS-DE2,KA-MYS-DE2-C3-ST-CCE-U572-S01,CCE,100.67.82.210,100.67.82.210,21980105673GK1002782,VRP,s5720-12TP-LI-AC
KA-KLO-M39,KA-KLO-M39-C3-ST-CCE-E12T-S01,CCE,100.65.239.180,100.65.239.180,EC2404000551,EdgeCOS,ECS4100-12T
