bstn,hostname,role,ip,root_ip,serialNumber,platform,model
CH-CGH-HYR,CH-CGH-HYR-B2-VM-MLU-UF57-S01,MLU,100.71.87.76,100.71.87.76,21980105118YJ1000056,VRP,s5700-28P-LI-24S-BAT
PB-MLI-V28,PB-MLI-V28-C3-ST-CCE-C35S-S01,CCE,100.71.93.125,100.71.93.125,FOC2705YG34,IOS,catwsC3560CX8tcS
DL-DEL-CN2,DL-DEL-CN2-C3-ST-CCE-U572-S01,CCE,100.73.21.100,100.73.21.100,21980105673GJB000004,VRP,s5720-12TP-LI-AC
DL-DEL-LV6,DL-DEL-LV6-C3-ST-CCE-UL8T-S01,CCE,100.73.21.102,100.73.21.102,4E2160077316,VRP,S5735-L8T4S-A1
DL-DEL-CN3,DL-DEL-CN3-C3-ST-CCE-U572-S01,CCE,100.73.21.101,100.73.21.101,21980105673GJB000027,VRP,s5720-12TP-LI-AC
DL-DEL-LU8,DL-DEL-LU8-C3-ST-CCE-UL8T-S01,CCE,100.73.21.105,100.73.21.105,4E2150025299,VRP,S5735-L8T4S-A1
DL-DEL-IB4,DL-DEL-IB4-C3-ST-CCE-U572-S01,CCE,100.73.21.104,100.73.21.104,21980105673GL9002576,VRP,s5720-12TP-LI-AC
DL-DEL-NU6,DL-DEL-NU6-C3-ST-CCE-UL8T-S01,CCE,100.73.21.108,100.73.21.108,2S2230003422,VRP,S5735-L8T4S-A1
DL-DEL-P13,DL-DEL-P13-C3-ST-CCE-E12T-S01,CCE,100.73.21.106,100.73.21.106,EC2322002490,EdgeCOS,ECS4100-12T
DL-DEL-LU3,DL-DEL-LU3-C3-ST-CCE-UL8T-S01,CCE,100.73.21.107,100.73.21.107,4E2150024910,VRP,S5735-L8T4S-A1
DL-DEL-HO1,DL-DEL-HO1-C3-ST-CCE-U572-S01,CCE,100.73.21.109,100.73.21.109,21980105673GL9002130,VRP,s5720-12TP-LI-AC
DL-DEL-DV7,DL-DEL-DV7-C3-ST-CCE-U572-S01,CCE,100.73.21.110,100.73.21.110,21980105673GK7001885,VRP,s5720-12TP-LI-AC
