x_sitl_telco_sify_u_lms_id,x_sitl_telco_sify_u_aconnectinginterface,x_sitl_telco_sify_u_zconnectinginterface,x_sitl_telco_sify_u_a_device,x_sitl_telco_sify_u_z_device,x_sitl_telco_sify_u_link_status,u_provider_circuit_id,x_sitl_telco_sify_u_circuit_id,x_sitl_telco_sify_u_bandwidth,u_bandwidth_units,sys_class_name,x_sitl_telco_sify_u_vendor_name,u_a_pop,u_z_pop,x_sitl_telco_sify_u_total_distance,x_sitl_telco_sify_u_link_description
23099,,,,,Active,23099,23099,,,Sify_DataLinks_Fiber,MICROSCAN INFOCOMMTECH PVT LTD,,,0.7,
20583,,,,,Active,21119,21119,,,Sify_DataLinks_Fiber,INTECH INFRATEL PVT LTD,,,3.346,
20945,TenGigabitEthernet1/2,TenGigabitEthernet1/3,100.66.42.50,100.66.42.10,Active,20945,20945,,,Sify_DataLinks_Fiber,REVMAX TELECOM INFRASTRUCTURES PVT LTD,MH-MUM-EXP,MH-MUM-GNT,1.15,
21279,GigabitEthernet0/0/0/14.200,GigabitEthernet0/0/27,100.70.203.35,100.71.122.203,Active,21279,21279,,,Sify_DataLinks_Fiber,TELEINFRA WORLDVISION PVT LTD,MH-SGL-SGL,MH-SGL-SLI,4.6,
24431,,,,,Active,24431,24431,,,Sify_DataLinks_Fiber,ARIZONA DATA PRIVATE LIMITED,,,6.01,
24567,,,,,Active,L99366,L99366,,,Sify_DataLinks_Fiber,R K FIBERGRID INDIA PRIVATE LIMITED,,,8.124,
24568,,,,,Active,L99367,L99367,,,Sify_DataLinks_Fiber,R K FIBERGRID INDIA PRIVATE LIMITED,,,0.77,
24594,GigabitEthernet0/0/26,,100.70.143.99,,Active,Anchor-Bagsevania - Mandideep Indus Colo,Anchor-Bagsevania - Mandideep Indus Colo,,,Sify_DataLinks_Fiber,ANCHOR COMMUNICATION,MP-BPL-BSE,,18.5,
25105,TenGigabitEthernet1/3,,100.71.153.68,100.71.112.98,Active,Indore-Marimata -MRP,Indore-Marimata -MRP,,,Sify_DataLinks_Fiber,MRP CABLE NET SOLUTION,MP-IND-MQU,MP-IND-IND,6.948,
25448,TenGigabitEthernet1/2,TenGigabitEthernet1/1,100.71.153.23,100.71.153.24,Active,AB Road Lasudiya-Shital Nagar-RS NETWORK,AB Road Lasudiya-Shital Nagar-RS NETWORK,,,Sify_DataLinks_Fiber,RS NETWORK SOLUTION,MP-IND-LSM,MP-IND-SZK,7,
12240,GigabitEthernet0/0/28,GigabitEthernet0/0/25,100.67.56.243,100.64.75.164,Active,,,,,Sify_DataLinks_Fiber,I LINK NETWORKS,MH-NAS-NON,MH-NAS-TJA,9.697,
12714,TenGigE0/0/0/16,TenGigabitEthernet1/1,100.71.75.96,100.66.38.131,Active,,,,,Sify_DataLinks_Fiber,TIRUPATI GLOBAL INFOSYS,MH-MUM-BWS,MH-MUM-BWS,2.8,
